"id","room_type","status","date_reservation","time_reservation","days_of_week","check_in_date","check_out_date","sales_price","d2_hotel_occupancy","average_competitor_price","average_competitor_room_availability","no_of_reservations","created_at","updated_at"
"17","Infinity Sea View","Confirmed","2022-12-20","14:59:00","Sunday","2023-01-01","2023-01-02","16500.00","7.46","14885.07","35","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"18","Super Deluxe Twin","Confirmed","2022-12-10","19:05:00","Sunday","2023-01-01","2023-01-02","9900.00","7.89","10521.36","16","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"19","Infinity Sea View","Confirmed","2022-12-13","15:51:00","Sunday","2023-01-01","2023-01-05","66000.00","8.33","14885.07","36","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"20","Super Deluxe Twin","Confirmed","2022-12-26","19:42:00","Sunday","2023-01-01","2023-01-02","9900.00","8.77","10521.36","15","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"21","Super Deluxe Twin","Confirmed","2022-12-15","16:50:00","Sunday","2023-01-01","2023-01-03","19800.00","9.21","10521.36","22","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"22","Infinity Sea View","Confirmed","2022-12-02","09:58:00","Sunday","2023-01-01","2023-01-04","49500.00","9.65","14885.07","47","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"23","Infinity Sea View","Confirmed","2022-12-12","08:37:00","Sunday","2023-01-01","2023-01-04","49500.00","10.09","14885.07","29","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"24","Panorama Ocean Suite","Confirmed","2022-12-18","20:44:00","Sunday","2023-01-01","2023-01-05","158400.00","10.53","36817.14","46","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"25","Infinity Sea View","Confirmed","2022-12-08","14:15:00","Sunday","2023-01-01","2023-01-05","66000.00","10.96","14885.07","22","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"26","Junior Suite","Confirmed","2022-12-03","11:33:00","Sunday","2023-01-01","2023-01-05","92400.00","11.40","21408.39","47","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"27","Super Deluxe Twin","Confirmed","2022-12-23","18:09:00","Monday","2023-01-02","2023-01-06","36000.00","0.44","9159.97","23","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"28","Junior Suite","Confirmed","2022-12-26","09:23:00","Monday","2023-01-02","2023-01-04","42000.00","0.88","20054.09","15","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"29","Infinity Sea View","Confirmed","2022-12-05","20:42:00","Monday","2023-01-02","2023-01-05","45000.00","1.32","13300.73","22","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"30","Panorama Ocean Suite","Confirmed","2022-12-18","14:46:00","Monday","2023-01-02","2023-01-05","108000.00","1.75","34321.31","30","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"31","Super Deluxe Twin","Confirmed","2022-12-06","10:27:00","Monday","2023-01-02","2023-01-03","9000.00","2.19","9159.97","39","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"32","Infinity Sea View","Confirmed","2022-12-06","12:36:00","Monday","2023-01-02","2023-01-05","45000.00","2.63","13300.73","46","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"33","Super Deluxe King","Confirmed","2022-12-24","13:37:00","Monday","2023-01-02","2023-01-04","21000.00","3.07","10325.73","36","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"34","Junior Suite","Confirmed","2022-12-05","14:07:00","Monday","2023-01-02","2023-01-03","21000.00","3.51","20054.09","34","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"35","Junior Suite","Confirmed","2022-12-24","11:26:00","Monday","2023-01-02","2023-01-05","63000.00","3.95","20054.09","50","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"36","Super Deluxe King","Confirmed","2022-12-04","18:55:00","Monday","2023-01-02","2023-01-03","10500.00","4.39","10325.73","29","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"37","Super Deluxe King","Confirmed","2022-12-06","20:26:00","Monday","2023-01-02","2023-01-07","52500.00","4.82","10325.73","34","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"38","Super Deluxe King","Confirmed","2022-12-09","18:49:00","Monday","2023-01-02","2023-01-07","52500.00","5.26","10325.73","18","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"39","Infinity Sea View","Confirmed","2022-12-11","11:27:00","Monday","2023-01-02","2023-01-06","60000.00","5.70","13300.73","23","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"40","Infinity Sea View","Confirmed","2022-12-26","11:56:00","Monday","2023-01-02","2023-01-03","15000.00","6.14","13300.73","10","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"41","Panorama Ocean Suite","Confirmed","2022-12-07","16:57:00","Monday","2023-01-02","2023-01-05","108000.00","6.58","34321.31","44","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"42","Super Deluxe Twin","Confirmed","2022-12-18","10:46:00","Monday","2023-01-02","2023-01-05","27000.00","7.02","9159.97","49","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"43","Super Deluxe King","Confirmed","2022-12-25","10:09:00","Monday","2023-01-02","2023-01-04","21000.00","7.46","10325.73","44","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"44","Super Deluxe King","Confirmed","2022-12-21","09:19:00","Monday","2023-01-02","2023-01-05","31500.00","7.89","10325.73","14","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"45","Super Deluxe Twin","Confirmed","2022-12-08","20:06:00","Monday","2023-01-02","2023-01-04","18000.00","8.33","9159.97","19","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"46","Junior Suite","Confirmed","2022-12-09","10:02:00","Tuesday","2023-01-03","2023-01-04","21000.00","0.44","20679.75","38","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"47","Junior Suite","Confirmed","2022-12-13","16:06:00","Tuesday","2023-01-03","2023-01-05","42000.00","0.88","20679.75","17","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"48","Infinity Sea View","Confirmed","2022-12-23","15:11:00","Tuesday","2023-01-03","2023-01-07","60000.00","1.32","13040.82","36","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"49","Junior Suite","Confirmed","2022-12-25","14:00:00","Tuesday","2023-01-03","2023-01-04","21000.00","1.75","20679.75","33","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"50","Infinity Sea View","Confirmed","2022-12-10","11:23:00","Tuesday","2023-01-03","2023-01-04","15000.00","2.19","13040.82","28","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"51","Infinity Sea View","Confirmed","2022-12-20","20:49:00","Tuesday","2023-01-03","2023-01-07","60000.00","2.63","13040.82","10","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"52","Junior Suite","Confirmed","2022-12-22","13:35:00","Tuesday","2023-01-03","2023-01-06","63000.00","3.07","20679.75","23","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"53","Super Deluxe King","Confirmed","2022-12-09","08:32:00","Tuesday","2023-01-03","2023-01-07","42000.00","3.51","9898.47","28","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"54","Panorama Ocean Suite","Confirmed","2022-12-23","20:02:00","Tuesday","2023-01-03","2023-01-04","36000.00","3.95","32187.26","34","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"55","Infinity Sea View","Confirmed","2022-12-30","18:37:00","Tuesday","2023-01-03","2023-01-08","75000.00","4.39","13040.82","29","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"56","Infinity Sea View","Confirmed","2022-12-16","08:55:00","Tuesday","2023-01-03","2023-01-06","45000.00","4.82","13040.82","47","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"57","Super Deluxe King","Confirmed","2022-12-29","11:15:00","Tuesday","2023-01-03","2023-01-07","42000.00","5.26","9898.47","31","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"58","Super Deluxe Twin","Confirmed","2022-12-19","12:45:00","Tuesday","2023-01-03","2023-01-05","18000.00","5.70","9507.70","46","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"59","Junior Suite","Confirmed","2022-12-08","09:47:00","Tuesday","2023-01-03","2023-01-07","84000.00","6.14","20679.75","25","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"60","Infinity Sea View","Confirmed","2022-12-04","16:29:00","Tuesday","2023-01-03","2023-01-04","15000.00","6.58","13040.82","12","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"61","Super Deluxe Twin","Confirmed","2022-12-12","15:04:00","Tuesday","2023-01-03","2023-01-06","27000.00","7.02","9507.70","50","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"62","Super Deluxe Twin","Confirmed","2022-12-16","15:15:00","Tuesday","2023-01-03","2023-01-05","18000.00","7.46","9507.70","11","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"63","Infinity Sea View","Confirmed","2022-12-05","09:52:00","Tuesday","2023-01-03","2023-01-07","60000.00","7.89","13040.82","11","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"64","Panorama Ocean Suite","Confirmed","2022-12-25","17:41:00","Tuesday","2023-01-03","2023-01-04","36000.00","8.33","32187.26","47","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"65","Junior Suite","Confirmed","2022-12-18","08:12:00","Wednesday","2023-01-04","2023-01-07","63000.00","0.44","20918.37","43","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"66","Junior Suite","Confirmed","2022-12-19","13:56:00","Wednesday","2023-01-04","2023-01-06","42000.00","0.88","20918.37","27","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"67","Super Deluxe Twin","Confirmed","2022-12-23","09:38:00","Wednesday","2023-01-04","2023-01-09","45000.00","1.32","9576.86","48","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"68","Super Deluxe Twin","Confirmed","2022-12-15","17:30:00","Wednesday","2023-01-04","2023-01-06","18000.00","1.75","9576.86","24","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"69","Infinity Sea View","Confirmed","2023-01-01","18:31:00","Wednesday","2023-01-04","2023-01-09","75000.00","2.19","12997.05","46","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"70","Super Deluxe Twin","Confirmed","2022-12-25","20:12:00","Wednesday","2023-01-04","2023-01-07","27000.00","2.63","9576.86","16","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"71","Panorama Ocean Suite","Confirmed","2022-12-22","10:26:00","Wednesday","2023-01-04","2023-01-05","36000.00","3.07","35402.61","39","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"72","Junior Suite","Confirmed","2022-12-24","16:30:00","Wednesday","2023-01-04","2023-01-07","63000.00","3.51","20918.37","45","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"73","Panorama Ocean Suite","Confirmed","2022-12-14","09:59:00","Wednesday","2023-01-04","2023-01-06","72000.00","3.95","35402.61","44","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"74","Infinity Sea View","Confirmed","2022-12-06","10:08:00","Wednesday","2023-01-04","2023-01-06","30000.00","4.39","12997.05","30","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"75","Super Deluxe King","Confirmed","2022-12-24","16:06:00","Wednesday","2023-01-04","2023-01-09","52500.00","4.82","9505.97","13","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"76","Super Deluxe Twin","Confirmed","2022-12-27","11:06:00","Wednesday","2023-01-04","2023-01-08","36000.00","5.26","9576.86","16","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"77","Super Deluxe Twin","Confirmed","2022-12-26","09:20:00","Wednesday","2023-01-04","2023-01-09","45000.00","5.70","9576.86","21","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"78","Super Deluxe King","Confirmed","2022-12-28","11:03:00","Wednesday","2023-01-04","2023-01-07","31500.00","6.14","9505.97","49","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"79","Super Deluxe King","Confirmed","2022-12-05","18:29:00","Wednesday","2023-01-04","2023-01-08","42000.00","6.58","9505.97","41","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"80","Super Deluxe Twin","Confirmed","2022-12-11","11:02:00","Wednesday","2023-01-04","2023-01-08","36000.00","7.02","9576.86","40","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"81","Junior Suite","Confirmed","2022-12-24","16:26:00","Wednesday","2023-01-04","2023-01-06","42000.00","7.46","20918.37","40","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"82","Super Deluxe King","Confirmed","2022-12-25","16:13:00","Wednesday","2023-01-04","2023-01-09","52500.00","7.89","9505.97","25","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"83","Junior Suite","Confirmed","2022-12-21","09:04:00","Wednesday","2023-01-04","2023-01-05","21000.00","8.33","20918.37","37","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"84","Infinity Sea View","Confirmed","2022-12-18","08:48:00","Wednesday","2023-01-04","2023-01-05","15000.00","8.77","12997.05","32","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"85","Panorama Ocean Suite","Confirmed","2022-12-28","13:22:00","Thursday","2023-01-05","2023-01-10","180000.00","0.44","33814.55","33","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"86","Panorama Ocean Suite","Confirmed","2022-12-12","18:29:00","Thursday","2023-01-05","2023-01-09","144000.00","0.88","33814.55","49","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"87","Super Deluxe Twin","Confirmed","2022-12-22","10:25:00","Thursday","2023-01-05","2023-01-08","27000.00","1.32","9402.60","42","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"88","Panorama Ocean Suite","Confirmed","2022-12-07","13:34:00","Thursday","2023-01-05","2023-01-08","108000.00","1.75","33814.55","41","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"89","Infinity Sea View","Confirmed","2022-12-21","09:05:00","Thursday","2023-01-05","2023-01-09","60000.00","2.19","13121.53","27","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"90","Panorama Ocean Suite","Confirmed","2022-12-11","19:52:00","Thursday","2023-01-05","2023-01-08","108000.00","2.63","33814.55","15","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"91","Super Deluxe King","Confirmed","2022-12-31","17:57:00","Thursday","2023-01-05","2023-01-09","42000.00","3.07","10247.19","17","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"92","Junior Suite","Confirmed","2022-12-20","14:00:00","Thursday","2023-01-05","2023-01-09","84000.00","3.51","20745.68","40","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"93","Super Deluxe Twin","Confirmed","2022-12-07","10:11:00","Thursday","2023-01-05","2023-01-09","36000.00","3.95","9402.60","37","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"94","Super Deluxe Twin","Confirmed","2022-12-08","18:01:00","Thursday","2023-01-05","2023-01-06","9000.00","4.39","9402.60","37","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"95","Panorama Ocean Suite","Confirmed","2022-12-15","08:50:00","Thursday","2023-01-05","2023-01-09","144000.00","4.82","33814.55","18","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"96","Junior Suite","Confirmed","2022-12-19","16:10:00","Thursday","2023-01-05","2023-01-10","105000.00","5.26","20745.68","13","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"97","Super Deluxe King","Confirmed","2022-12-31","15:26:00","Thursday","2023-01-05","2023-01-06","10500.00","5.70","10247.19","42","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"98","Junior Suite","Confirmed","2022-12-14","16:05:00","Thursday","2023-01-05","2023-01-08","63000.00","6.14","20745.68","15","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"99","Panorama Ocean Suite","Confirmed","2022-12-20","20:18:00","Thursday","2023-01-05","2023-01-09","144000.00","6.58","33814.55","22","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"100","Junior Suite","Confirmed","2022-12-19","15:57:00","Thursday","2023-01-05","2023-01-08","63000.00","7.02","20745.68","30","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"101","Super Deluxe Twin","Confirmed","2022-12-16","11:29:00","Thursday","2023-01-05","2023-01-07","18000.00","7.46","9402.60","28","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"102","Junior Suite","Confirmed","2022-12-13","17:00:00","Thursday","2023-01-05","2023-01-07","42000.00","7.89","20745.68","11","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"103","Panorama Ocean Suite","Confirmed","2022-12-17","16:04:00","Thursday","2023-01-05","2023-01-08","108000.00","8.33","33814.55","21","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"104","Junior Suite","Confirmed","2022-12-30","15:04:00","Friday","2023-01-06","2023-01-07","23100.00","0.44","21584.87","43","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"105","Junior Suite","Confirmed","2023-01-02","14:29:00","Friday","2023-01-06","2023-01-10","92400.00","0.88","21584.87","25","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"106","Panorama Ocean Suite","Confirmed","2022-12-14","18:39:00","Friday","2023-01-06","2023-01-09","118800.00","1.32","36287.51","11","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"107","Super Deluxe King","Confirmed","2022-12-16","19:40:00","Friday","2023-01-06","2023-01-07","11550.00","1.75","11203.76","17","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"108","Panorama Ocean Suite","Confirmed","2022-12-28","13:16:00","Friday","2023-01-06","2023-01-10","158400.00","2.19","36287.51","16","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"109","Junior Suite","Confirmed","2022-12-11","20:38:00","Friday","2023-01-06","2023-01-09","69300.00","2.63","21584.87","46","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"110","Junior Suite","Confirmed","2023-01-02","15:35:00","Friday","2023-01-06","2023-01-10","92400.00","3.07","21584.87","15","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"111","Infinity Sea View","Confirmed","2022-12-10","08:25:00","Friday","2023-01-06","2023-01-08","33000.00","3.51","14652.07","13","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"112","Panorama Ocean Suite","Confirmed","2022-12-31","15:35:00","Friday","2023-01-06","2023-01-10","158400.00","3.95","36287.51","37","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"113","Infinity Sea View","Confirmed","2022-12-22","20:00:00","Friday","2023-01-06","2023-01-09","49500.00","4.39","14652.07","41","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"114","Junior Suite","Confirmed","2022-12-20","12:14:00","Friday","2023-01-06","2023-01-09","69300.00","4.82","21584.87","11","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"115","Panorama Ocean Suite","Confirmed","2022-12-20","15:07:00","Friday","2023-01-06","2023-01-10","158400.00","5.26","36287.51","13","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"116","Super Deluxe King","Confirmed","2022-12-26","20:10:00","Friday","2023-01-06","2023-01-10","46200.00","5.70","11203.76","13","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"117","Super Deluxe Twin","Confirmed","2023-01-04","09:45:00","Friday","2023-01-06","2023-01-09","29700.00","6.14","10763.56","49","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"118","Infinity Sea View","Confirmed","2022-12-19","12:40:00","Friday","2023-01-06","2023-01-09","49500.00","6.58","14652.07","35","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"119","Panorama Ocean Suite","Confirmed","2022-12-27","20:05:00","Friday","2023-01-06","2023-01-11","198000.00","7.02","36287.51","22","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"120","Junior Suite","Confirmed","2022-12-28","12:41:00","Friday","2023-01-06","2023-01-11","115500.00","7.46","21584.87","48","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"121","Junior Suite","Confirmed","2023-01-02","10:03:00","Friday","2023-01-06","2023-01-09","69300.00","7.89","21584.87","50","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"122","Super Deluxe King","Confirmed","2022-12-31","20:52:00","Friday","2023-01-06","2023-01-07","11550.00","8.33","11203.76","26","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"123","Super Deluxe King","Confirmed","2022-12-22","15:51:00","Friday","2023-01-06","2023-01-08","23100.00","8.77","11203.76","35","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"124","Junior Suite","Confirmed","2022-12-30","19:34:00","Saturday","2023-01-07","2023-01-09","46200.00","0.44","22949.23","47","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"125","Junior Suite","Confirmed","2023-01-05","19:05:00","Saturday","2023-01-07","2023-01-10","69300.00","0.88","22949.23","19","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"126","Super Deluxe Twin","Confirmed","2022-12-22","17:22:00","Saturday","2023-01-07","2023-01-08","9900.00","1.32","10555.45","37","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"127","Panorama Ocean Suite","Confirmed","2022-12-14","11:17:00","Saturday","2023-01-07","2023-01-08","39600.00","1.75","36734.04","44","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"128","Junior Suite","Confirmed","2022-12-27","18:42:00","Saturday","2023-01-07","2023-01-12","115500.00","2.19","22949.23","31","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"129","Super Deluxe King","Confirmed","2022-12-22","16:47:00","Saturday","2023-01-07","2023-01-09","23100.00","2.63","11499.70","32","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"130","Junior Suite","Confirmed","2023-01-03","09:45:00","Saturday","2023-01-07","2023-01-09","46200.00","3.07","22949.23","43","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"131","Infinity Sea View","Confirmed","2022-12-12","20:28:00","Saturday","2023-01-07","2023-01-12","82500.00","3.51","13925.60","24","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"132","Super Deluxe King","Confirmed","2023-01-04","08:27:00","Saturday","2023-01-07","2023-01-12","57750.00","3.95","11499.70","42","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"133","Infinity Sea View","Confirmed","2023-01-01","08:12:00","Saturday","2023-01-07","2023-01-08","16500.00","4.39","13925.60","25","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"134","Junior Suite","Confirmed","2022-12-13","20:55:00","Saturday","2023-01-07","2023-01-09","46200.00","4.82","22949.23","24","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"135","Super Deluxe King","Confirmed","2022-12-27","16:26:00","Saturday","2023-01-07","2023-01-10","34650.00","5.26","11499.70","38","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"136","Super Deluxe Twin","Confirmed","2022-12-18","14:19:00","Saturday","2023-01-07","2023-01-12","49500.00","5.70","10555.45","12","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"137","Super Deluxe King","Confirmed","2022-12-30","18:57:00","Saturday","2023-01-07","2023-01-10","34650.00","6.14","11499.70","26","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"138","Super Deluxe Twin","Confirmed","2022-12-18","10:19:00","Saturday","2023-01-07","2023-01-08","9900.00","6.58","10555.45","33","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"139","Super Deluxe Twin","Confirmed","2022-12-16","13:27:00","Saturday","2023-01-07","2023-01-12","49500.00","7.02","10555.45","10","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"140","Super Deluxe King","Confirmed","2022-12-29","17:35:00","Saturday","2023-01-07","2023-01-09","23100.00","7.46","11499.70","19","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"141","Panorama Ocean Suite","Confirmed","2022-12-19","11:11:00","Saturday","2023-01-07","2023-01-10","118800.00","7.89","36734.04","47","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"142","Super Deluxe Twin","Confirmed","2022-12-23","15:40:00","Saturday","2023-01-07","2023-01-12","49500.00","8.33","10555.45","46","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"143","Super Deluxe King","Confirmed","2022-12-22","08:46:00","Saturday","2023-01-07","2023-01-11","46200.00","8.77","11499.70","46","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
"144","Super Deluxe King","Confirmed","2022-12-20","12:00:00","Saturday","2023-01-07","2023-01-10","34650.00","9.21","11499.70","49","1","2025-02-28 07:37:20","2025-02-28 07:37:20"
